mal_id,url,title,title_english,type,episodes,status,rating,score,start_date,end_date,genre_names,theme_names
1,https://myanimelist.net/anime/1/Cowboy_Bebop,Cowboy Bebop,Cowboy Bebop,TV,26.0,Finished Airing,R - 17+ (violence & profanity),8.75,1998-04-03,1999-04-24,"Action, Award Winning, Sci-Fi","Adult Cast, Space"
5,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Movie,1.0,Finished Airing,R - 17+ (violence & profanity),8.38,2001-09-01,Ongoing,"Action, Sci-Fi","Adult Cast, Space"
6,https://myanimelist.net/anime/6/Trigun,Trigun,Trigun,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,8.22,1998-04-01,1998-09-30,"Action, Adventure, Sci-Fi",Adult Cast
7,https://myanimelist.net/anime/7/Witch_Hunter_Robin,Witch Hunter Robin,Witch Hunter Robin,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,7.24,2002-07-03,2002-12-25,"Action, Drama, Mystery, Supernatural",Detective
8,https://myanimelist.net/anime/8/Bouken_Ou_Beet,Bouken Ou Beet,Beet the Vandel Buster,TV,52.0,Finished Airing,PG - Children,6.93,2004-09-30,2005-09-29,"Action, Adventure, Fantasy",
15,https://myanimelist.net/anime/15/Eyeshield_21,Eyeshield 21,,TV,145.0,Finished Airing,PG-13 - Teens 13 or older,7.91,2005-04-06,2008-03-19,Sports,Team Sports
16,https://myanimelist.net/anime/16/Hachimitsu_to_Clover,Hachimitsu to Clover,Honey and Clover,TV,24.0,Finished Airing,PG-13 - Teens 13 or older,7.99,2005-04-15,2005-09-27,"Comedy, Drama, Romance","Adult Cast, Love Polygon, Visual Arts"
17,https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker,Hungry Heart: Wild Striker,,TV,52.0,Finished Airing,PG-13 - Teens 13 or older,7.54,2002-09-11,2003-09-10,"Comedy, Slice of Life, Sports",Team Sports
18,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage,Initial D Fourth Stage,,TV,24.0,Finished Airing,PG-13 - Teens 13 or older,8.17,2004-04-17,2006-02-18,"Action, Drama",Racing
19,https://myanimelist.net/anime/19/Monster,Monster,Monster,TV,74.0,Finished Airing,R+ - Mild Nudity,8.88,2004-04-07,2005-09-28,"Drama, Mystery, Suspense","Adult Cast, Psychological"
20,https://myanimelist.net/anime/20/Naruto,Naruto,Naruto,TV,220.0,Finished Airing,PG-13 - Teens 13 or older,8.0,2002-10-03,2007-02-08,"Action, Adventure, Fantasy",Martial Arts
21,https://myanimelist.net/anime/21/One_Piece,One Piece,One Piece,TV,0.0,Currently Airing,PG-13 - Teens 13 or older,8.72,1999-10-20,Ongoing,"Action, Adventure, Fantasy",
22,https://myanimelist.net/anime/22/Tennis_no_Oujisama,Tennis no Oujisama,The Prince of Tennis,TV,178.0,Finished Airing,PG-13 - Teens 13 or older,7.85,2001-10-10,2005-03-23,Sports,School
23,https://myanimelist.net/anime/23/Ring_ni_Kakero_1,Ring ni Kakero 1,,TV,12.0,Finished Airing,PG - Children,6.35,2004-10-06,2004-12-15,Sports,Combat Sports
24,https://myanimelist.net/anime/24/School_Rumble,School Rumble,School Rumble,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,7.89,2004-10-05,2005-03-29,"Comedy, Romance","Gag Humor, Love Polygon, School"
25,https://myanimelist.net/anime/25/Sunabouzu,Sunabouzu,Desert Punk,TV,24.0,Finished Airing,R - 17+ (violence & profanity),7.37,2004-10-06,2005-03-30,"Action, Adventure, Comedy, Sci-Fi, Ecchi",
26,https://myanimelist.net/anime/26/Texhnolyze,Texhnolyze,Texhnolyze,TV,22.0,Finished Airing,R+ - Mild Nudity,7.76,2003-04-17,2003-09-25,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense","Adult Cast, Organized Crime, Psychological"
27,https://myanimelist.net/anime/27/Trinity_Blood,Trinity Blood,Trinity Blood,TV,24.0,Finished Airing,R - 17+ (violence & profanity),7.28,2005-04-29,2005-10-28,"Action, Fantasy, Sci-Fi",Vampire
28,https://myanimelist.net/anime/28/Yakitate_Japan,Yakitate!! Japan,Yakitate!! Japan,TV,69.0,Finished Airing,PG-13 - Teens 13 or older,7.91,2004-10-12,2006-03-14,"Comedy, Gourmet",
29,https://myanimelist.net/anime/29/Zipang,Zipang,,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,7.49,2004-10-08,2005-04-01,"Action, Drama, Sci-Fi","Adult Cast, Historical, Military, Time Travel"
30,https://myanimelist.net/anime/30/Shinseiki_Evangelion,Shinseiki Evangelion,Neon Genesis Evangelion,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,8.35,1995-10-04,1996-03-27,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological"
31,https://myanimelist.net/anime/31/Shinseiki_Evangelion_Movie__Shi_to_Shinsei,Shinseiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,Movie,1.0,Finished Airing,R - 17+ (violence & profanity),7.48,1997-03-15,Ongoing,"Action, Drama, Sci-Fi, Suspense","Mecha, Psychological"
32,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,Movie,1.0,Finished Airing,R+ - Mild Nudity,8.55,1997-07-19,Ongoing,"Action, Avant Garde, Drama, Sci-Fi, Suspense","Mecha, Psychological"
33,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,Kenpuu Denki Berserk,Berserk,TV,25.0,Finished Airing,R+ - Mild Nudity,8.59,1997-10-08,1998-04-01,"Action, Adventure, Drama, Fantasy, Horror","Gore, Military"
43,https://myanimelist.net/anime/43/Koukaku_Kidoutai,Koukaku Kidoutai,Ghost in the Shell,Movie,1.0,Finished Airing,R+ - Mild Nudity,8.27,1995-11-18,Ongoing,"Action, Award Winning, Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Mecha, Psychological"
44,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,OVA,4.0,Finished Airing,R - 17+ (violence & profanity),8.7,1999-02-20,1999-09-22,"Action, Drama, Romance","Adult Cast, Historical, Samurai"
45,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,TV,94.0,Finished Airing,PG-13 - Teens 13 or older,8.28,1996-01-10,1998-09-08,"Action, Comedy, Romance","Historical, Samurai"
46,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,Movie,1.0,Finished Airing,R - 17+ (violence & profanity),7.55,1997-12-20,Ongoing,Drama,"Historical, Samurai"
47,https://myanimelist.net/anime/47/Akira,Akira,Akira,Movie,1.0,Finished Airing,R+ - Mild Nudity,8.16,1988-07-16,Ongoing,"Action, Horror, Sci-Fi","Gore, Military, Super Power"
48,https://myanimelist.net/anime/48/hack__Sign,.hack//Sign,.hack//Sign,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,6.94,2002-04-04,2002-09-26,"Adventure, Fantasy, Mystery",Video Game
49,https://myanimelist.net/anime/49/Aa_Megami-sama,Aa! Megami-sama!,Oh! My Goddess,OVA,5.0,Finished Airing,PG-13 - Teens 13 or older,7.28,1993-02-21,1994-05-17,"Comedy, Romance, Supernatural",
50,https://myanimelist.net/anime/50/Aa_Megami-sama_TV,Aa! Megami-sama! (TV),Ah! My Goddess,TV,24.0,Finished Airing,PG-13 - Teens 13 or older,7.31,2005-01-07,2005-07-08,"Comedy, Romance, Supernatural",
51,https://myanimelist.net/anime/51/Tenshi_Kinryouku,Tenshi Kinryouku,Angel Sanctuary,OVA,3.0,Finished Airing,R+ - Mild Nudity,6.24,2000-05-25,2000-08-25,"Action, Drama, Romance, Supernatural",Reincarnation
52,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,7.26,2001-04-01,2001-09-23,"Award Winning, Comedy, Drama, Sci-Fi",Strategy Game
53,https://myanimelist.net/anime/53/Ai_Yori_Aoshi,Ai Yori Aoshi,Ai Yori Aoshi,TV,24.0,Finished Airing,PG-13 - Teens 13 or older,7.1,2002-04-11,2002-09-26,"Comedy, Drama, Romance",Harem
54,https://myanimelist.net/anime/54/Appleseed_Movie,Appleseed (Movie),,Movie,1.0,Finished Airing,R - 17+ (violence & profanity),7.05,2004-04-17,Ongoing,"Action, Sci-Fi","Mecha, Military"
55,https://myanimelist.net/anime/55/Arc_the_Lad,Arc the Lad,,TV,26.0,Finished Airing,R - 17+ (violence & profanity),6.49,1999-04-05,1999-10-11,"Action, Adventure, Fantasy, Horror, Sci-Fi",
56,https://myanimelist.net/anime/56/Avenger,Avenger,,TV,13.0,Finished Airing,R - 17+ (violence & profanity),5.86,2003-10-02,2003-12-25,"Adventure, Fantasy, Sci-Fi",
57,https://myanimelist.net/anime/57/Beck,Beck,Beck: Mongolian Chop Squad,TV,26.0,Finished Airing,R - 17+ (violence & profanity),8.29,2004-10-07,2005-03-31,Drama,Music
58,https://myanimelist.net/anime/58/Blue_Gender,Blue Gender,Blue Gender,TV,26.0,Finished Airing,R+ - Mild Nudity,7.01,1999-10-08,2000-03-31,"Action, Adventure, Drama, Horror, Sci-Fi","Gore, Mecha, Military, Space, Survival"
59,https://myanimelist.net/anime/59/Chobits,Chobits,Chobits,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,7.39,2002-04-03,2002-09-25,"Comedy, Drama, Romance, Sci-Fi, Ecchi",
60,https://myanimelist.net/anime/60/Chrno_Crusade,Chrno Crusade,Chrono Crusade,TV,24.0,Finished Airing,R - 17+ (violence & profanity),7.6,2003-11-25,2004-06-10,"Action, Romance, Supernatural","Historical, Mythology"
61,https://myanimelist.net/anime/61/DNAngel,D.N.Angel,D.N.Angel,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,7.16,2003-04-03,2003-09-25,"Action, Comedy, Fantasy, Romance",School
62,https://myanimelist.net/anime/62/DC__Da_Capo,D.C.: Da Capo,D.C.~Da Capo~,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,6.71,2003-07-05,2003-12-27,"Drama, Romance",Harem
63,https://myanimelist.net/anime/63/DearS,DearS,DearS,TV,12.0,Finished Airing,R+ - Mild Nudity,6.55,2004-07-11,2004-09-26,"Comedy, Romance, Sci-Fi, Ecchi",Harem
64,https://myanimelist.net/anime/64/Rozen_Maiden,Rozen Maiden,Rozen Maiden,TV,12.0,Finished Airing,PG-13 - Teens 13 or older,7.4,2004-10-08,2004-12-24,"Action, Comedy, Drama, Fantasy",
65,https://myanimelist.net/anime/65/Rozen_Maiden__Träumend,Rozen Maiden: Träumend,Rozen Maiden: Träumend,TV,12.0,Finished Airing,PG-13 - Teens 13 or older,7.61,2005-10-21,2006-01-27,"Action, Comedy, Drama, Fantasy",
66,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation,Azumanga Daiou The Animation,Azumanga Daioh: The Animation,TV,26.0,Finished Airing,PG-13 - Teens 13 or older,8.04,2002-04-09,2002-10-01,Comedy,"CGDCT, Gag Humor, School"
67,https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou,Basilisk: Kouga Ninpou Chou,Basilisk,TV,24.0,Finished Airing,R - 17+ (violence & profanity),7.53,2005-04-13,2005-09-21,"Action, Drama, Romance","Adult Cast, Gore, Historical, Martial Arts, Samurai"
68,https://myanimelist.net/anime/68/Black_Cat,Black Cat,Black Cat,TV,23.0,Finished Airing,PG-13 - Teens 13 or older,7.32,2005-10-07,2006-03-31,"Action, Adventure, Sci-Fi",Super Power
